Name,Age,Gender,Blood_Type,Medical_Condition,Date_of_Admission,Doctor,Hospital,Insurance_Provider,Billing_Amount,Room_Number,Admission_Type,Discharge_Date,Medication,Test_Results,Alcohol_Level,Heart_Rate,Blood_Oxygen_Level,Body_Temperature,Weight,MRI_Delay,Prescription,Dosage_in_mg,Education_Level,Dominant_Hand,Family_History,Smoking_Status,Physical_Activity,Depression_Status,Cognitive_Test_Scores,Medication_History,Nutrition_Diet,Sleep_Quality,Chronic_Health_Conditions,trestbps,cholestral,thalach,user_id,password
mIchElLe daniELs,72,Male,O+,Cancer,19-04-2020,John Duncan,Schaefer-Porter,Medicare,12576.79561,394,Urgent,22-04-2020,Paracetamol,Normal,0.06748564,97,91.97409401,37.11506382,81.58275528,22.28137463,,,Secondary School,Left,Yes,Never Smoked,Mild Activity,No,9,No,Mediterranean Diet,Good,Heart Disease,112,149,125,user11,password11
aaRon MARtiNeZ,38,Female,A-,Hypertension,13-08-2023,Douglas Mayo,Lyons-Blair,Medicare,7999.58688,288,Urgent,05-09-2023,Lipitor,Inconclusive,0.082671231,93,96.76003198,36.5104785,77.50145733,34.23731011,,,Primary School,Right,No,Former Smoker,Mild Activity,No,8,No,Balanced Diet,Good,Hypertension,132,341,136,user12,password12
connOR HANsEn,75,Female,A+,Diabetes,12-12-2019,Kenneth Fletcher,"Powers Miller, and Flores",Cigna,43282.28336,134,Emergency,28-12-2019,Penicillin,Abnormal,0.028077171,93,98.88929762,36.62579951,56.72634126,52.64003911,Rivastigmine,3,Secondary School,Right,Yes,Former Smoker,Moderate Activity,No,6,Yes,Low-Carb Diet,Poor,Diabetes,118,210,192,user13,password13
rObeRt bAuer,68,Female,AB+,Asthma,22-05-2020,Theresa Freeman,Rivera-Gutierrez,UnitedHealthcare,33207.70663,309,Urgent,19-06-2020,Lipitor,Normal,0.088051553,91,97.40051132,37.36267603,58.80968507,56.1071276,,,Primary School,Right,Yes,Former Smoker,Sedentary,No,10,Yes,Low-Carb Diet,Good,Diabetes,140,298,122,user14,password14
bROOkE brady,44,Female,AB+,Cancer,08-10-2021,Roberta Stewart,Morris-Arellano,UnitedHealthcare,40701.59923,182,Urgent,13-10-2021,Paracetamol,Normal,0.156563606,95,93.7180956,36.85063965,54.15882135,8.692067268,,,Secondary School,Left,No,Never Smoked,Mild Activity,No,10,Yes,Low-Carb Diet,Poor,Diabetes,128,204,156,user15,password15
MS. nAtalIE gAMble,46,Female,AB-,Obesity,01-01-2023,Maria Dougherty,Cline-Williams,Blue Cross,12263.35743,465,Elective,11-01-2023,Aspirin,Inconclusive,0.165971596,84,97.20612313,36.01244617,72.61512433,32.55944409,,,Secondary School,Left,Yes,Current Smoker,Mild Activity,No,9,No,Balanced Diet,Good,,118,210,192,user16,password16
haley perkins,63,Female,A+,Arthritis,23-06-2020,Erica Spencer,Cervantes-Wells,UnitedHealthcare,24499.8479,114,Elective,14-07-2020,Paracetamol,Normal,0.035671309,74,99.78361029,37.07471741,54.39984486,10.03042843,Memantine,10,Primary School,Left,No,Former Smoker,Mild Activity,Yes,6,Yes,Balanced Diet,Good,Heart Disease,140,308,142,user17,password17
mRS. jamiE cAMPBELl,38,Male,AB-,Obesity,08-03-2020,Justin Kim,"Torres, and Harrison Jones",Cigna,17440.46544,449,Urgent,02-04-2020,Paracetamol,Abnormal,0.029306378,93,96.61629907,36.56828607,92.24004827,13.94126524,,,Diploma/Degree,Right,No,Never Smoked,Moderate Activity,No,8,No,Mediterranean Diet,Poor,Diabetes,124,266,109,user18,password18
LuKE BuRgEss,34,Female,A-,Hypertension,04-03-2021,Justin Moore Jr.,Houston PLC,Blue Cross,18843.02302,260,Elective,14-03-2021,Aspirin,Abnormal,0.159084564,82,93.42533256,37.46749931,66.39599237,37.67747129,Memantine,5,Primary School,Left,No,Never Smoked,Mild Activity,Yes,2,No,Balanced Diet,Poor,Diabetes,120,244,162,user19,password19
dANIEL schmIdt,63,Male,B+,Asthma,15-11-2022,Denise Galloway,Hammond Ltd,Cigna,23762.20358,465,Elective,22-11-2022,Penicillin,Normal,0.197107157,60,95.38163665,36.42523947,84.86484367,51.85357243,Rivastigmine,3,Secondary School,Right,Yes,Never Smoked,Mild Activity,Yes,5,Yes,Low-Carb Diet,Good,Heart Disease,140,211,165,user20,password20
tIMOTHY burNs,67,Female,A-,Asthma,28-06-2023,Krista Smith,Jones LLC,Blue Cross,42.51458855,115,Elective,02-07-2023,Aspirin,Normal,0.092342225,69,93.8552755,37.13423421,55.45003325,21.91321839,Memantine,20,Secondary School,Left,No,Former Smoker,Moderate Activity,No,0,Yes,Balanced Diet,Poor,Heart Disease,140,185,155,user21,password21
ChRISToPHEr BRiGhT,48,Male,B+,Asthma,21-01-2020,Gregory Smith,Williams-Davis,Aetna,17695.91162,295,Urgent,09-02-2020,Lipitor,Normal,0.089056755,67,91.20922571,37.22828972,84.59198576,6.198296519,,,Primary School,Left,No,Never Smoked,Moderate Activity,No,9,Yes,Low-Carb Diet,Poor,Diabetes,106,223,142,user22,password22
KatHRYn StewArt,58,Female,O+,Arthritis,12-05-2022,Vanessa Newton,Clark-Mayo,Aetna,5998.102908,327,Urgent,10-06-2022,Lipitor,Inconclusive,0.047064985,76,99.35561626,36.53276216,74.93656186,18.36632457,Rivastigmine,1.5,Primary School,Left,No,Never Smoked,Sedentary,No,5,Yes,Mediterranean Diet,Poor,Diabetes,104,208,148,user23,password23
dR. EilEEn thomPsoN,59,Male,A+,Asthma,02-08-2021,Donna Martinez MD,and Sons Smith,Aetna,25250.05243,119,Urgent,12-08-2021,Lipitor,Inconclusive,0.002244399,99,93.20482131,36.0701666,71.84929862,7.337041483,Rivastigmine,6,Secondary School,Right,Yes,Former Smoker,Sedentary,No,4,No,Mediterranean Diet,Good,,135,252,172,user24,password24
PAUl hEndERsOn,72,Female,AB+,Hypertension,15-05-2020,Stephanie Kramer,Wilson Group,Medicare,33211.29542,109,Emergency,08-06-2020,Paracetamol,Inconclusive,0.155994199,77,99.71684422,36.75595886,64.59469836,24.79244843,,,Primary School,Left,Yes,Never Smoked,Moderate Activity,No,9,No,Balanced Diet,Poor,Diabetes,120,209,173,user25,password25
PeTER fiTzgeRaLd,73,Male,AB+,Obesity,15-05-2020,Angela Contreras,Garner-Bowman,Medicare,19746.83201,162,Urgent,20-05-2020,Aspirin,Abnormal,0.105560503,66,92.98716475,36.8181653,80.21100495,33.35714158,,,Primary School,Right,No,Never Smoked,Sedentary,No,9,Yes,Balanced Diet,Good,Heart Disease,145,307,146,user26,password26
cathy sMaLl,51,Female,O-,Asthma,23-12-2023,Wendy Glenn,"Brown, and Jones Weaver",Blue Cross,26786.52956,401,Elective,19-01-2024,Ibuprofen,Normal,0.109671326,98,93.7502785,37.05705356,69.53257419,11.51293038,,,No School,Left,Yes,Current Smoker,Sedentary,No,9,Yes,Low-Carb Diet,Poor,Hypertension,130,233,179,user27,password27
mr. KenNEth MoORE,34,Female,A+,Diabetes,21-06-2022,James Ellis,Serrano-Dixon,UnitedHealthcare,18834.80134,157,Emergency,30-06-2022,Lipitor,Abnormal,0.052612734,74,99.18157641,36.24130265,50.80480082,16.10706559,Memantine,10,Diploma/Degree,Left,No,Former Smoker,Mild Activity,Yes,3,Yes,Mediterranean Diet,Poor,,136,319,152,user28,password28
MaRy hUNter,38,Female,O-,Hypertension,03-01-2021,Jared Bruce Jr.,Gardner-Miller,Cigna,32643.29935,223,Emergency,16-01-2021,Penicillin,Normal,0.141321097,87,90.42674726,36.55439078,64.13625366,29.39000379,,,Primary School,Right,Yes,Former Smoker,Moderate Activity,No,8,No,Low-Carb Diet,Good,,130,256,142,user29,password29
jOSHUA OLiVer,63,Female,B+,Hypertension,03-10-2023,Brandy Mitchell,Guerrero-Boone,Aetna,5767.011054,293,Elective,12-10-2023,Paracetamol,Abnormal,0.145556257,75,97.78071352,37.33378072,53.92537119,57.45160358,,,No School,Right,Yes,Never Smoked,Moderate Activity,No,8,Yes,Low-Carb Diet,Poor,Heart Disease,180,327,117,user30,password30
ThOMAS MartInEZ,34,Male,B-,Asthma,18-08-2019,Jacob Huynh,Hart Ltd,Cigna,47909.12881,371,Urgent,01-09-2019,Ibuprofen,Inconclusive,0.016219648,97,91.22176631,37.40471067,94.55202648,30.68724503,Donepezil,10,Primary School,Left,No,Never Smoked,Sedentary,Yes,2,No,Mediterranean Diet,Poor,Heart Disease,120,169,144,user31,password31
JAmES pattERson,23,Female,A+,Arthritis,03-11-2019,Kristina Frazier,Cruz-Santiago,UnitedHealthcare,25835.32359,108,Urgent,29-11-2019,Penicillin,Abnormal,0.062406335,88,95.9507936,36.05845797,84.34877063,23.34130491,,,No School,Right,Yes,Former Smoker,Sedentary,No,8,No,Mediterranean Diet,Poor,Diabetes,120,244,162,user32,password32
WilLIAM cOOPEr,78,Male,AB-,Arthritis,18-05-2023,John Hartman,Group Duncan,Medicare,17993.2262,245,Elective,15-06-2023,Penicillin,Normal,0.189437302,67,90.26498112,37.06559817,66.85323858,26.27401601,Donepezil,23,No School,Right,Yes,Never Smoked,Mild Activity,No,5,Yes,Balanced Diet,Good,Diabetes,130,131,115,user33,password33
Erin oRTEga,43,Male,AB-,Cancer,24-05-2023,Heather Garcia,Lopez-Phillips,Medicare,21185.95353,494,Elective,03-06-2023,Ibuprofen,Normal,0.16636984,83,92.34521739,36.94383723,63.73845262,28.73667725,Memantine,10,No School,Right,Yes,Former Smoker,Sedentary,Yes,1,No,Mediterranean Diet,Poor,Diabetes,160,269,112,user34,password34
NicOlE RodriGUEz,30,Female,AB+,Diabetes,17-01-2020,Lynn Young,Poole Inc,Blue Cross,8408.949354,285,Emergency,10-02-2020,Lipitor,Normal,0.13061763,71,99.01975715,36.1485966,76.29335567,46.10798833,,,Diploma/Degree,Right,Yes,Never Smoked,Mild Activity,No,8,Yes,Mediterranean Diet,Good,,129,196,163,user35,password35
DAvID AndErSON,25,Female,AB+,Asthma,07-01-2021,Emma Allison,Sons and Cox,Medicare,45453.41855,228,Elective,26-01-2021,Lipitor,Abnormal,0.150087744,70,90.28152844,36.67295288,99.68350139,41.76456583,Rivastigmine,6,Primary School,Left,Yes,Never Smoked,Sedentary,Yes,4,No,Low-Carb Diet,Poor,Hypertension,150,231,147,user36,password36
DEnIse ToRRES,33,Male,AB+,Diabetes,14-10-2019,Laura Myers,LLC Martin,Aetna,4397.776995,481,Urgent,19-10-2019,Paracetamol,Inconclusive,0.081123968,93,96.30131424,36.89290745,78.96663452,6.9739033,,,Diploma/Degree,Left,Yes,Never Smoked,Mild Activity,No,9,No,Mediterranean Diet,Good,Diabetes,125,213,125,user37,password37
CasSAndrA Robinson,26,Female,B-,Hypertension,19-12-2021,Travis Parsons,Espinoza-Stone,Aetna,9380.325968,212,Urgent,16-01-2022,Ibuprofen,Normal,0.165668296,96,96.45687829,37.48271858,85.51765452,48.82199233,Galantamine,8,Primary School,Left,Yes,Never Smoked,Sedentary,Yes,7,No,Balanced Diet,Good,,138,271,182,user38,password38
NIcOlE LUcErO,70,Female,O-,Diabetes,12-03-2022,Christine Johnson,"and Garcia Morris Cunningham,",Cigna,48290.69341,113,Emergency,29-03-2022,Lipitor,Abnormal,0.09992415,61,97.12278783,37.34388999,62.41025505,9.414670868,,,Secondary School,Right,No,Former Smoker,Mild Activity,No,9,Yes,Balanced Diet,Poor,,128,263,105,user39,password39
PAmela fErNanDeZ,57,Female,B-,Obesity,17-01-2021,Emily Taylor,Walton-Meyer,Medicare,32973.94083,272,Urgent,29-01-2021,Penicillin,Abnormal,0.041575713,80,96.07951373,36.64692539,56.60244631,59.95759864,,,Primary School,Right,Yes,Never Smoked,Mild Activity,No,9,Yes,Low-Carb Diet,Good,Heart Disease,128,229,150,user40,password40
chRiSTOPHer LEe,74,Female,B-,Hypertension,15-09-2021,William Reynolds,PLC Young,Cigna,49943.2785,478,Emergency,05-10-2021,Lipitor,Normal,0.109911381,90,98.83885748,36.9598651,66.71335528,30.156605,,,Secondary School,Right,Yes,Former Smoker,Mild Activity,No,8,Yes,Mediterranean Diet,Good,Heart Disease,160,360,151,user41,password41
ThomAS morsE,81,Male,A+,Hypertension,27-01-2020,Jennifer Carter,Meadows Group,Cigna,35633.95545,196,Urgent,09-02-2020,Aspirin,Normal,0.054455047,85,95.83542586,36.40242364,77.8618358,56.97398011,,,No School,Left,Yes,Former Smoker,Sedentary,No,8,No,Balanced Diet,Poor,Heart Disease,120,258,147,user42,password42
Mr. eRiC Lane,49,Female,A-,Asthma,24-06-2022,Matthew Thomas,"and Howell Brooks, Rogers",Cigna,25966.32861,418,Elective,18-07-2022,Paracetamol,Normal,0.146173839,85,90.03076345,36.85638375,54.2737138,21.27714559,Donepezil,10,Secondary School,Right,Yes,Former Smoker,Mild Activity,No,5,No,Low-Carb Diet,Good,Diabetes,130,330,169,user43,password43
KAThEriNE SmiTH,26,Female,AB+,Obesity,09-06-2021,Mary Logan,"and Mcclure White Boone,",UnitedHealthcare,21784.44507,410,Urgent,01-07-2021,Paracetamol,Normal,0.190784542,61,90.20538533,36.56133506,74.24871232,0.336485278,Memantine,10,No School,Left,No,Former Smoker,Moderate Activity,No,0,No,Mediterranean Diet,Poor,Hypertension,120,249,144,user44,password44
pAUL wILLiAmS,81,Female,AB-,Cancer,23-08-2020,Kristin Martinez,"Gates Brown, and Stuart",Medicare,42684.55888,328,Urgent,08-09-2020,Penicillin,Abnormal,0.040341173,80,91.15269367,36.72220436,68.62945211,23.65587757,,,Secondary School,Right,Yes,Never Smoked,Mild Activity,No,10,No,Balanced Diet,Poor,Diabetes,132,342,166,user45,password45
lYNn MaRtinez,65,Male,O+,Cancer,12-10-2022,Daniel Murphy,Group Armstrong,Medicare,45585.88656,300,Emergency,02-11-2022,Penicillin,Normal,0.073214833,70,91.82060602,37.03394513,79.97122456,48.26832718,Rivastigmine,6,Secondary School,Left,No,Former Smoker,Sedentary,No,0,No,Low-Carb Diet,Poor,Hypertension,140,226,178,user46,password46
chRIsTOpHEr CHaPmAN,31,Female,O+,Hypertension,01-12-2021,Emily Patterson,Ltd Schwartz,Cigna,29615.44186,211,Elective,09-12-2021,Paracetamol,Normal,0.14017791,63,91.33183154,37.46016079,68.44454405,21.70228037,Memantine,20,Diploma/Degree,Left,No,Former Smoker,Sedentary,No,3,Yes,Low-Carb Diet,Poor,Diabetes,135,203,132,user47,password47
CHRis fRYe,58,Male,A-,Diabetes,04-05-2020,Heather Smith,Nelson-Phillips,Cigna,36992.27369,413,Urgent,13-05-2020,Aspirin,Normal,0.022736396,72,93.49867799,36.07022782,85.50335708,14.95747625,,,Primary School,Left,Yes,Never Smoked,Mild Activity,No,8,No,Low-Carb Diet,Poor,Diabetes,178,228,165,user48,password48
kyLE bEnneTT,22,Male,O+,Hypertension,09-09-2023,John Smith,"Knight and Nguyen, Riggs",UnitedHealthcare,28051.49948,157,Urgent,23-09-2023,Ibuprofen,Abnormal,0.047783575,84,98.39336269,36.27682345,89.19729974,37.93686384,,,Primary School,Left,No,Former Smoker,Mild Activity,No,10,Yes,Low-Carb Diet,Good,Heart Disease,146,278,152,user49,password49
